id,title,description,price,url,avg_review,image,company,tags,category,github_link,reviewcount,current_version,updated,thirdparty,require_license,pwa_ready,updated_at,created_at
719,Magento 2 Infinite Scroll,Ajax scroll without interruption Freely scroll down & See what page of the... ,"0",https://landofcoder.com/magento-2-infinite-scroll.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-infinite-scroll.png,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
729,Brand Extension for Magento 2,"Create and show flexible professional brand carousel, most inspirational brand... ","0",https://landofcoder.com/magento-2-brand-extension.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-ship-by-brand-main.jpg,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
741,OnePay Payment Gateway for Magento 2,Free Magento 2 onepay extension is integrated with OnePay payment gateway.... ,"0",https://landofcoder.com/magento-2-onepay-payment-gateway.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-onepay-payment.png,Landofcoder,"",payment,"",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
746,Free Magento 2 Facebook Live Chat Extension,The integration of Facebook Messenger into your store can make the... ,"0",https://landofcoder.com/free-magento-2-facebook-live-chat-extension.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-facebook-live-chat.jpg,Landofcoder,"",social,"",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
782,Search Autocomplete FREE,Instant product search results. Let your customers instantly find what they are looking for.,"0",https://www.mageworx.com/magento-2-search-autocomplete-free.html,null,https://www.mageworx.com/media/catalog/product/cache/1/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/2/2/22_search_autocomplete.png,Mageworx,"",sitesearch,"",,,,,"0","0",2022-01-23 01:36:07,2020-04-27 04:01:26
969,Magento 2 Order Sales Notification,"Magepow Recentorder Extension for Magento show beautiful recent sales popups to notify visitors of recently bought items. When you have very small amount of order, you can show fake order instead to attract customers.","0",https://magepow.com/magento-2-recent-order-notification.html,"",https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/c/o/cover-letter-8-mau-anhtuanle.png,Magepow,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 17:10:32
970,Magento 2 Ajax Contact Form,Ajax Contact Form Extension for Magento allows the customer to submit the form with ajaxÂ without redirect to the contact page.,"0",https://magepow.com/magento-ajax-contact-form.html,"",https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/m/a/magento_2_ajax_contact_form.png,Magepow,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 17:10:32
972,Magento Categories Extension,"Categories Magento extension (Magepow Categories Extension) for Magento allows you to have subcategories in the form of a grid or list on category pages, home page or optionally any other page via XML layout updates or CMS markup tags.","0",https://magepow.com/magento-categories-extension.html,"",https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/a/d/advanced_magento_2_categories.png,Magepow,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 17:10:32
973,Magento 2 Lazy Load,"With loading images by demand, Lazy Load extension for Magento 2 helps you enhance loading page time and improve your website performance","0",https://magepow.com/magento-lazy-load.html,"",https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/l/a/lazy_load_extension_for_magento_2.png,Magepow,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 17:10:32
976,Magento Sticky Cart,"Sticky cart Magento extension (Sticky add to cart Extension) provides to customers a convenient add to cart bar so they can add products to cart, view brief of product detail (image, price, quantity,...) quickly.","0",https://magepow.com/magento-sticky-cart.html,"",https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/s/t/sticky_footer.jpg,Magepow,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 17:10:32
981,Magento 2 Admin Payment Method,Magento 2 Admin Payment Method extension allows admin to create payment method validated only in the backend. This solution also supports auto-creating invoice and shipment once orders are created.,"0",https://bsscommerce.com/magento-2-admin-payment-method-extension.html,1  Reviews,https://bsscommerce.com/pub/media/catalog/product/f/r/free-admin-payment-method-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
984,Magento 2 Admin Shipping Method,Magento 2 Admin Shipping Method extension creates a new shipping method used by the admin only to generate free of shipping cost orders. This optimal Magento 2 shipping extension also features automatically creating invoices and shipments once orders are placed.,"0",https://bsscommerce.com/magento-2-admin-shipping-method-extension.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/m/2/m2_free_admin_shipping_method.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1004,Magento 2 Cookie Notice,"According to Data Law, customers should be aware of your websiteâ€™s cookies usage. This is how this extension works: Get cookies consent by customers!","0",https://bsscommerce.com/magento-2-cookie-notice-extension.html,9  Reviews,https://bsscommerce.com/pub/media/catalog/product/c/o/cookie-notice2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1010,Magento 2 Custom Product Attribute Export,Custom Product Attribute Export for Magento 2 helps sorting custom attributes in separate columns in CSV file while exporting.,"0",https://bsscommerce.com/magento-2-custom-product-attribute-export-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/c/u/custom-product-attribute-export-for-magento-2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-28 19:08:50
1011,Magento 2 Custom Shipping Method,A solution to add new Magento 2 shipping methods in a simple way,"0",https://bsscommerce.com/magento-2-custom-shipping-method-extension.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/i/c/icon9.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1016,Magento 2 Delete Order,"Magento 2 Delete Order Extension is an useful extension for all administrators to delete unwanted orders, invoices, shipments and credit memos from Order Grid in the Magento backend by some simple clicks.","0",https://bsscommerce.com/magento-2-delete-order-extension.html,5  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/e/delete-order-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1018,Magento 2 Disable Compare,Magento 2 Disable Compare extension provides an absolutely simple and free solution for admin to disable compare functions without code interference.,"0",https://bsscommerce.com/magento-2-disable-compare-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/i/disable-compare.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1021,Magento 2 Dynamic Html Sitemap,"Make your store more user-friendly, provide your store visitors a convenient overview of the website. At the same time help Search Engines crawl and index data better by spreading the necessary ranking power with internal cross-linking.","0",https://bsscommerce.com/magento-2-dynamic-html-sitemap-extension.html,36  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/y/dynamic-html-sitemap-m2.png,BSSCommerce,"",sitemap,"",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1022,Magento 2 Facebook Pixel,"Are your Facebook Ads working well?; How many users initiated the checkout without completing?; Which parts should you improve to increase conversion rate and sales?; etc. These are hard to know without a right tracking tool.
Here, we offer Magento 2 Facebook Pixel extension to:","0",https://bsscommerce.com/magento-2-facebook-pixel-extension.html,1  Reviews,https://bsscommerce.com/pub/media/catalog/product/f/a/facebook-pixel.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1043,Magento 2 Improved Configurable Products,null,"0",https://bsscommerce.com/magento-2-improved-configurable-products-extension.html,1  Reviews,https://bsscommerce.com/pub/media/catalog/product/v/i/view_2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-04-28 19:08:50
1048,Magento 2 Lazy Load,Magento 2 Lazy Load Product Image extension allows loading product images when scrolling down the pages to reduce loading time for better performance.,"0",https://bsscommerce.com/magento-2-lazy-load-extension.html,38  Reviews,https://bsscommerce.com/pub/media/catalog/product/l/a/lazy-load-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1049,Magento 2 Login As Customer,"Install Magento 2 Login as Customer now!
No request for username or password, no time-consuming ask, and answer, now you can login to your Magento store as your customers to detect their shopping problem. Or make use of Magento Login as Customer (as known as advanced Magento 2 Admin Login extension)Â to see and optimize the buyersâ€™ purchase experience on your website!","0",https://bsscommerce.com/magento-2-login-as-customer-extension.html,2  Reviews,https://bsscommerce.com/pub/media/catalog/product/l/o/login-as-customer-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1050,Magento 2 Marketing Combo,null,"0",https://bsscommerce.com/magento-2-marketing-combo.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/i/m/image-product_2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-04-28 19:08:50
1051,Magento 2 Mega Menu,Magento 2 Mega Menu Extension allows admin to design menu for better website navigation.,"0",https://bsscommerce.com/magento-2-mega-menu-extension.html,36  Reviews,https://bsscommerce.com/pub/media/catalog/product/m/e/mega-menu.png,BSSCommerce,"",sitesearch,"",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1053,Magento 2 Migration Service,null,"0",https://bsscommerce.com/magento-2-migration.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/m/i/migration.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-04-28 19:08:50
1056,Magento 2 Minimum Order Quantity,"Minimum Order Quantity (MOQ) is not a new term, especially for wholesalers. Magento â€œseemsâ€ to know that. However, instead of setting a minimum quantity for total order, the sellers can only set a minimum/maximum quantity for the specific product.
It is not the concept of MOQ.Â BSS Minimum Order Quantity for Magento 2 extension is!","0",https://bsscommerce.com/magento-2-minimum-order-quantity-extension.html,2  Reviews,https://bsscommerce.com/pub/media/catalog/product/m/i/minimum-order-quantity.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1058,Magento 2 Module Creation & Customization,null,"0",https://bsscommerce.com/magento-2-module-creation-customization.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/m/o/module_creation_customization.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-04-28 19:08:50
1060,Magento 2 Multiple Store View Solution,"Auto-detect customer location by GeoIP technology,
Set up different product prices per store view,
Create specific promotion rules and taxes per store view,
Optimize store view display with Flags,
Increase checkout experience with store view base currency","0",https://bsscommerce.com/magento-2-multiple-store-view-solution.html,"0  Reviews",https://bsscommerce.com/pub/media/catalog/product/m/2/m2-multiple-store-view-solutions-icon2_1_1.png,BSSCommerce,"",translations,"",,,,,"0","0",2022-01-23 01:36:07,2020-04-28 19:08:50
1065,Magento 2 Order Details On Success Page,Magento 2 Order Details on Success Page extension shows all order information on the Thank you page after finishing checkout.,"0",https://bsscommerce.com/magento-2-order-details-on-success-page-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/o/r/order-details-on-success-page-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:36:54,2020-04-28 19:08:50
1069,Magento 2 Pre-Select Shipping/Payment,Magento 2 Pre-select Shipping/Payment FREE extension  speeds up customer checkout process by pre-selecting the shipping and payment methods.,"0",https://bsscommerce.com/magento-2-preselect-shipping-payment-extension.html,2  Reviews,https://bsscommerce.com/pub/media/catalog/product/p/r/pre-select-shippingpayment.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1074,Magento 2 Product Images By Customer,â€œProduct images provided by shop owners are not enough for me when I consider making an online purchase!â€. Explore this extension to give your customers a chance to experience what actual products look like and decide to place an order without hesitance.,"0",https://bsscommerce.com/magento-2-product-images-by-customer-extension.html,6  Reviews,https://bsscommerce.com/pub/media/catalog/product/p/r/product-images-by-customer_1.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1078,Magento 2 Product Widget Slider,Magento 2 Products Widget Slider extension attracts customersâ€™ attention by showing off profitable and hot products in your store by a slider.,"0",https://bsscommerce.com/magento-2-products-widget-slider-extension.html,1  Reviews,https://bsscommerce.com/pub/media/catalog/product/p/r/products-widget-slider-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1082,Magento 2 Quick View,Magento 2 Quick View extension allows customers to conveniently view products in Quick View pop-up without leaving current page.,"0",https://bsscommerce.com/magento-2-quick-view-extension.html,10  Reviews,https://bsscommerce.com/pub/media/catalog/product/q/u/quick-view.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1083,Magento 2 Refund Request By Customer,Magento 2 Refund Request by Customer extensionÂ allows customers to submit a refund request on the Customer Account Page.,"0",https://bsscommerce.com/magento-2-refund-request-by-customer-extension.html,2  Reviews,https://bsscommerce.com/pub/media/catalog/product/r/e/refund-request-by-customer-m2.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1084,Magento 2 Reindex From Backend,Reindex from Backend for Magento 2 allows admin to reindex data from backend at any time without the help from a developer.,"0",https://bsscommerce.com/magento-2-reindex-from-backend-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/r/e/reindex-from-backend.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:39:50,2020-04-28 19:08:50
1094,Magento 2 Social Login,"Magento 2 Social Login extension allows customer to log in Magento site through social media accounts like Facebook, Twitter, Google Plusâ€¦","0",https://bsscommerce.com/magento-2-social-login-extension.html,6  Reviews,https://bsscommerce.com/pub/media/catalog/product/s/o/social-login-m2.png,BSSCommerce,"",social,"",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1097,Magento 2 Storeview Flags,"Do you find the default dropdown menu of store views in your website so boring? The global current trend of Ecommerce sites is using flags to symbolize for/enclose with store views, representing modernity, and convenience. Â 
Itâ€™s time to change the faces of your store views now!","0",https://bsscommerce.com/magento-2-storeview-flags-extension.html,2  Reviews,https://bsscommerce.com/pub/media/catalog/product/s/t/storeview-flag-m2_1.png,BSSCommerce,"","","",,,,,"0","0",2022-01-23 01:35:51,2020-04-28 19:08:50
1152,Developer-Debug Tool [M2],"Developer-Debug Tool by CedCommerce for Magento 2.0 is a development and debugging extension, which aims at easing developers concerns by fetching vital...","0",https://cedcommerce.com/magento-2-extensions/developer-debug-tool,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/d/e/debug_tool_m2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-05-02 02:43:08
1170,GIFT CARD EXTENSION [M2],Gift Card Extension for Magento 2 by CedCommerce facilitates customers to purchase gift cards and send them to their friends over their email ids.,"0",https://cedcommerce.com/magento-2-extensions/gift-card-extension,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/g/i/gift-card-extension2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:39:50,2020-05-02 02:43:08
1179,HubSpot Magento 2 Integration,"CedCommerce brings the HubSpot E-Commerce Bridge Integration, you may integrate your Magento store with HubSpot and sync the crucial business data.","0",https://cedcommerce.com/magento-2-extensions/hubspot-ecomm-bridge-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/h/u/hubspot-magento-2_1_.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-05-02 02:43:08
1187,Magento 2 PWA Studio Theme,"Enhance the user experience, Lower maintenance cost and Swift loading. Utilize the most robust technology of Magento PWA Studio, ReactJS & GraphQL with...","0",https://cedcommerce.com/magento-2-extensions/magento-2-pwa-studio-theme,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/m/a/magento-2-pwa-studio-theme.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-05-02 02:43:08
1192,Master Password Extension [M2],Master Password Extension allows Magento 2 Admin to log in any customer account with a global password.,"0",https://cedcommerce.com/magento-2-extensions/master-password-extension,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/1/_/1_2_.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-05-02 02:43:08
1202,Order Delete [M2],Order Delete module facilitate admin to delete unnecessary orders form Magento 2 site.,"0",https://cedcommerce.com/magento-2-extensions/order-delete,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/o/r/order_delete_m2_1.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-05-02 02:43:08
1316,AliExpress Magento 2 Integration,Ali Express Magento 2 Integration is a real-time eCommerce extension which enables to sell Magento store products on Aliexpress marketplace.,"0",https://cedcommerce.com/magento-2-extensions/aliexpress-magento2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/l/aliexpress-magento-2-integration.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1317,Allyouneed Magento 2 Integration,CedCommerce Allyouneed-Magento 2 Integration enables merchants to create Magento 2 products on Allyouneed.com & manage Allyouneed orders & shipments itself...,"0",https://cedcommerce.com/magento-2-extensions/allyouneed-magento-2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/l/allyouneed-marketplace-magento2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1318,Amazon FBA Magento 2 Integration,Integration that connects Magento 2 store with Amazon Multi-Channel Fulfilment (MCF). Sellers can now simply access the benefits of Amazon FBA using this integration as it allows Magento 2 sellers to fulfill their store orders successfully. Amazon MCF(Multi-Channel Fulfillment) is a service offering order fulfillment which gives sellers access to the FBA service by fulfilling their multichannel orders and shipping them.,"0",https://cedcommerce.com/magento-2-extensions/amazon-fba-magento-2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon-fba-magento-2-integration2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1319,Amazon Magento 2 MultiChannel Integration,CedCommerce Amazon-Magento 2 Integration enables merchants to create Magento products on Amazon.com & manage Amazon orders & shipments itself from Magento...,"0",https://cedcommerce.com/magento-2-extensions/amazon-magento-2-multichannel-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon-magento-integrataion2_2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1320,Amazon Magento 2 Repricer,"Repricer, a feature of Amazon Integration extension by Cedcommerce, enables users to determine and implement a perfect pricing point for their products...","0",https://cedcommerce.com/magento-2-extensions/amazon-repricer-magento-2,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/m/amazon-repricer-m2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1321,Asos Magento 2 Integration,CedCommerce Asos-Magento 2 Integration enables merchants to create Magento 2 products on Asos.com & manage Asos orders & shipments itself from Magento...,"0",https://cedcommerce.com/magento-2-extensions/asos-magento-2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/a/s/asos-magento-integrataion2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1322,Bigcommerce Product Importer Addon [M2],Bigcommerce Product Importer Extension helps the vendors in importing the products from BigCommerce to magento.,"0",https://cedcommerce.com/magento-2-extensions/marketplace/bigcommerce-product-importer-addon,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/i/bigcommerce-product-importer.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1323,Bigcommerce to Magento 2 Product Importer [M2],Bigcommerce To Magento Product Importer Extension helps in importing the products from BigCommerce to Magento.,"0",https://cedcommerce.com/magento-2-extensions/bigcommerce-to-magento-2-product-importer,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/i/bigcommerce-to-magentoproductimporter_2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1324,Bizrate Magento 2 Integration,CedCommerce Bizrate-Magento 2 Integration enables merchants to create Magento 2 products on Bizrate.com & manage Bizrate orders & shipments itself from...,"0",https://cedcommerce.com/magento-2-extensions/bizrate-magento-2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/i/bizrate-magento-integrataion2.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1325,Blog Extension [M2],Be Connected to listen your regular and causal customers.,"0",https://cedcommerce.com/magento-2-extensions/blog-extension,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/m/a/magento-2-blog.png,CEDCommerce,"",blog,"",,,,,"0","0",2022-01-28 01:20:59,2020-05-02 02:43:08
1326,Bol Magento 2 Integration,CedCommerce Bol-Magento2 Integration enables merchants to create Magento products on Bol.com & manage Bol orders & shipments itself from Magento .,"0",https://cedcommerce.com/magento-2-extensions/bol-magento-2-integration,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/o/bol-magento-2-integration.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1327,Booking Badges Addon[M2],Booking Badges addon is a powerful monitoring and regulation tool that empowers admin to award badges to vendor according to the sales and rating points...,"0",https://cedcommerce.com/magento-2-extensions/booking-badges-addon,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/o/booking-badges-addon.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1328,Booking Citrus Payment Method Addon[M2],Integrate Citrus payment Gateway to your Magento 2 Store.,"0",https://cedcommerce.com/magento-2-extensions/booking-citrus-payment-method-addon,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/i/m/imgpsh_fullsize.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
1329,Booking CMS Addon[M2],Allow Vendors to create their own CMS Pages in your Magento 2 Booking Marketplace.,"0",https://cedcommerce.com/magento-2-extensions/booking-cms-addon,"",https://k4h6h8w8.stackpathcdn.com/media/catalog/product/cache/1/small_image/100x/9df78eab33525d08d6e5fb8d27136e95/b/o/booking-cms-addon.png,CEDCommerce,"","","",,,,,"0","0",2022-01-23 01:36:07,2020-05-02 02:43:08
