name,description,url-href,price,reviews,activeCategory,image-src
Shipping Suite M2,"Shipping Suite — your perfect extension for shipping profitability. It combines 3 smart and useful shipping managing tools: shipping table rates, rules, and restrictions. Get the greatest benefits from their synergetic work and take your shipping process under full control.",https://amasty.com/shipping-suite-for-magento-2.html,$499,4.8,Shipping,https://amasty.com/v1587651669/media/catalog/product/s/h/shipping-suite-for-magento-2_5.svg
(Pre-order) Quick Order M2,Boost B2B sales and increase repeated purchases with Magento 2 Quick Order extension. Enable buyers to quickly order multiple products without visiting numerous web store pages.,https://amasty.com/quick-order-for-magento-2.html,$75,null,B2B Products,https://amasty.com/v1587666071/media/catalog/product/q/u/quick-order-for-magento-2.svg
Custom Product Sorting for Shop by Brand (Add-On) M2,Promote particular brand products by customizing their positioning on brand pages. Change products order manually or automatically with the Custom Product Sorting add-on for Shop by Brand.,https://amasty.com/custom-product-sorting-add-on-for-shop-by-brand-for-magento-2.html,$99,null,Add-ons,https://amasty.com/v1587651669/media/catalog/product/c/u/custom-product-sorting-for-shop-by-brand-for-magento-2-add-on.svg
Store Pickup with Locator M2,Enhance customers' loyalty by providing an additional shipping option with Magento 2 Store Pickup with Locator. Drive more sales attracting buyers to your brick-and-mortar stores with a complex solution.,https://amasty.com/store-pickup-with-locator-for-magento-2.html,$299,4,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/s/t/store-pickup-with-locator-for-magento-2.svg
Google Map M2,Provide your customers with the clear details about the location of your business. Display the physical address on the 'Contact Us' page using the appealing Magento Google Map.,https://amasty.com/google-map-for-magento-2.html,$49,null,User Experience,https://amasty.com/v1587666071/media/catalog/product/g/o/google-map-for-magento-2.svg
Customer Group Catalog M2,Kick-start your selling strategy. Manage Magento 2 prices & products to tailor your store catalog content to meet the needs of a particular customer group.,https://amasty.com/customer-group-catalog-for-magento-2.html,$229,4.8,B2B Products,https://amasty.com/v1587666071/media/catalog/product/c/u/customer-group-catalog-for-magento-2.svg
Multi Warehouse Inventory M2,Equip your store with an advanced Magento 2 Warehouse Management Tool. Easily split inventory among multiple warehouses and effectively manage stock right from the product grid or the particular warehouse page.,https://amasty.com/multi-warehouse-inventory-for-magento-2.html,$349,4.5,Shipping,https://amasty.com/v1587651669/media/catalog/product/m/u/multi-warehouse-inventory-for-magento-2.svg
HTML Sitemap M2,Generate a clear HTML sitemap to help customers easily navigate your website. Include/exclude particular pages from the sitemap and customize its layout to make it perfectly structured.,https://amasty.com/html-sitemap-for-magento-2.html,$99,5,User Experience,https://amasty.com/v1587666071/media/catalog/product/h/t/html-for-magento-2.svg
Subscriptions & Recurring Payments M2,Grow revenue by selling products on the subscription basis and getting sustainable recurring payments with Magento 2 Subscription extension.,https://amasty.com/subscriptions-recurring-payments-for-magento-2.html,$399,4.7,B2B Products,https://amasty.com/v1587666071/media/catalog/product/s/u/subscriptions-_-recurring-payments-gift-for-magento-2.svg
Login as Customer M2,Assist your customers with the checkout process and reduce support time on credentials requests. Easily login as customer in one click to provide better shopping experience and get deeper insight on how the store performs from your shoppers' point of view.,https://amasty.com/magento-2-login-as-customer.html,$129,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/l/o/login-as-customer-for-magento-2.svg
FAQ and Product Questions M2,Equip product pages with the advanced SEO-optimized FAQ section in Magento 2. Transform guests to customers by displaying well-organized info on products and services.,https://amasty.com/faq-and-product-questions-for-magento-2.html,$199,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/f/a/faq-and-product-questions-for-magento-2.svg
Product Attachments M2,"Let customers get more details about products they purchase. Provide them with accurate manuals, licenses, warranties and other additional info right on product pages. Upload files of any format and use catchy icons to capture customers' attention with Magento 2 Product Attachments.",https://amasty.com/product-attachments-for-magento-2.html,$149,4.8,Images & Media,https://amasty.com/v1587651669/media/catalog/product/p/r/product-attachments-for-magento-2.svg
Advanced Permissions M2,"Easily manage multi-vendor stores by assigning custom role permissions to specific managers. Let them see and edit only particular products, categories, store views and websites.",https://amasty.com/advanced-permissions-for-magento-2.html,$229,4.4,B2B Products,https://amasty.com/v1587666071/media/catalog/product/a/d/advanced-permissions-for-magento-2.svg
Customers Also Bought M2,Increase an average cart value by automatically suggesting relevant products. Create flexible recommendations with the Magento 2 Frequently Bought Together extension to promote products according to your business needs and boost sales.,https://amasty.com/magento-2-customers-also-bought.html,$299,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/c/u/customers-also-bought-for-magento-2.svg
Custom Stock Status M2,Use custom stock statuses to provide precise information about stock availability of particular products. Easily attract customers' attention with catchy statuses to make them buy more.,https://amasty.com/custom-stock-status-for-magento-2.html,$199,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/c/u/custom-stock-status-for-magento-2.svg
Store Credit & Refund M2,"Turn refunds into revenue, apply the automated return system to scale up sales. Thank customers for shopping in your store with credit and build their loyalty.",https://amasty.com/store-credit-and-refund-for-magento-2.html,$149,4.7,B2B Products,https://amasty.com/v1587666071/media/catalog/product/s/t/store-credit-_-refund-for-magento-2.svg
Automatic Related Products M2,Dynamically showcase related items in your webstore to help customers easily find necessary products and complete the order. Boost store revenue by setting up smart product recommendations with Magento 2 Related Products!,https://amasty.com/automatic-related-products-for-magento-2.html,$299,4.9,User Experience,https://amasty.com/v1587666071/media/catalog/product/a/u/automatic-related-products-for-magento-2.svg
Hide Price M2,"Hide product prices and ""Add to cart"" button for specific products or whole categories. Manage prices display depending on customer groups. Customize button texts and messages to make your pricing policy maximally flexible.",https://amasty.com/hide-price-for-magento-2.html,$159,5,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/h/i/hide-price-for-magento-2.svg
Exit Intent Popup M2,Employ Magento 2 Exit Intent Popup to convert abandoning store visitors into customers. Drive more sales and notably boost your subscriber base.,https://amasty.com/exit-intent-popup-for-magento-2.html,$199,null,Checkout,https://amasty.com/v1587651669/media/catalog/product/a/n/anti-abandonment-popup-for-magento-2.svg
B2B E-commerce Suite M2,Bring your business to a new level by turning your webstore into a powerful B2B e-commerce solution for Magento 2. Outperform competitors and build a constantly growing base of regular clients with one B2B Suite.,https://amasty.com/b2b-ecommerce-suite-for-magento-2.html,$699,null,B2B Products,https://amasty.com/v1587666071/media/catalog/product/b/2/b2b-suite-for-magento-2.svg
Order Notes M2,"Optimize your order management by creating order notes and marking them with colored flags, badges and other labels. Now you can control the chaos on your order grid and visualize order process.",https://amasty.com/order-notes-for-magento-2.html,$129,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/o/r/order-notes-for-magento-2.svg
Blog Pro M2,Drive more target audience to your store with Magento 2 Blog Pro extension. Enhance your promotional efforts with the powerful content marketing solution.,https://amasty.com/blog-pro-for-magento-2.html,$349,4.6,Images & Media,https://amasty.com/v1587651669/media/catalog/product/b/l/blog-pro-for-magento-2_1.svg
Thank You Page M2,Increase the revenue from repeat sales with a custom Magento 2 order success page. Tailor Magento Thank You Page template and turn it into the first step towards the next purchase.,https://amasty.com/thank-you-page-for-magento-2.html,$149,null,Checkout,https://amasty.com/v1587651669/media/catalog/product/t/h/thank-you-page-for-magento-2_3.svg
Import & Export for Advanced Product Reviews (Add-On) M2,Easily add or extract reviews in bulk using Magento 2 Import & Export Reviews add-on. Create an unlimited number of review data in one click.,https://amasty.com/import-export-add-on-for-advanced-product-reviews-for-magento-2.html,$99,4.5,Add-ons,https://amasty.com/v1587651669/media/catalog/product/a/d/add-on-import-export-for-advanced-product-reviews-for-magento-2_2.svg
Lazy Load M2,Speed up the loading time of your site pages with Magento 2 Lazy Load. Improve your site performance by loading product images by demand!,https://amasty.com/lazy-load-for-magento-2.html,$259,null,Images & Media,https://amasty.com/v1587651669/media/catalog/product/l/a/lazy-load-for-magento-2.svg
Request a Quote M2,Easily interact with customers regarding new best prices for products with Magento 2 Quote Extension. Make highly personalized purchasing offers and grow sales revenue by understanding buyers’ demands.,https://amasty.com/request-a-quote-for-magento-2.html,$319,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/r/e/request-a-quote-for-magento-2_1.svg
Google Account Login M2,Instantly access your store backend without remembering complex passwords with Magento 2 Google Account Login. Reduce manual efforts onboarding new employees automatically and securely.,https://amasty.com/google-account-login-for-magento-2.html,$99,5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/g/o/google-account-login-for-magento-2.svg
Store Credit & Refund M2,"Turn refunds into revenue, apply the automated return system to scale up sales. Thank customers for shopping in your store with credit and build their loyalty.",https://amasty.com/store-credit-and-refund-for-magento-2.html,$149,4.7,Order Management,https://amasty.com/v1587651669/media/catalog/product/s/t/store-credit-_-refund-for-magento-2.svg
Free Gift M2,Get 5 promo actions to automatically add free and discounted products to the cart. Show catchy banners to inform customers about special offers and let visitors select a gift among available promo items.,https://amasty.com/free-gift-for-magento-2.html,$229,4.6,Promotions,https://amasty.com/v1587658870/media/catalog/product/f/r/free-gift-for-magento-2icon.svg
